"Nome do projeto","OrbitGestão"
"Intervalo de datas","02/20/2026 00:00 - 05/20/2026 23:59"


"URL visitada começa com","https://orbitgestao.com.br/"

"Exibições de página","18104"
"Total de cliques","27144"

"Métrica","Click"

"Classificar","Botão","Cliques"," % de cliques"
"34","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>BUTTON:nth-of-type(1)","56","0,21%"
"35","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>BUTTON.lang-switch:nth-of-type(1)","56","0,21%"
"36","#platformDock>BUTTON.dock-item:nth-of-type(9)>DIV.dock-icon:nth-of-type(1)","56","0,21%"
"37","#platformDock>BUTTON.dock-item:nth-of-type(10)>DIV.dock-icon:nth-of-type(1)","56","0,21%"
"38","#platformDock>BUTTON.dock-item:nth-of-type(6)>DIV.dock-icon:nth-of-type(1)","55","0,20%"
"39","#platformDock>BUTTON.dock-item:nth-of-type(11)>DIV.dock-icon:nth-of-type(1)>I.fas.fa-handshake:nth-of-type(1)","46","0,17%"
"40","#platformDock>BUTTON.dock-item:nth-of-type(12)>DIV.dock-icon:nth-of-type(1)","45","0,17%"
"41","#home>DIV.container:nth-of-type(3)>DIV.hero-zoom__header:nth-of-type(1)>SPAN.hero-zoom__badge:nth-of-type(1)","45","0,17%"
"42","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>UL.nav-menu:nth-of-type(1)>LI:nth-of-type(2)>DIV.dropdown.dropdown--sm:nth-of-type(1)>DIV.dropdown__links:nth-of-type(1)>A:nth-of-type(1)>DIV.dd-text:nth-of-type(2)>SMALL:nth-of-type(1)","45","0,17%"
"43","#home>DIV.container:nth-of-type(3)>DIV.hero-zoom__header:nth-of-type(1)>H1.hero-zoom__title:nth-of-type(1)","42","0,15%"
"44","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>BUTTON.lang-switch:nth-of-type(1)>SPAN.lang-switch__flag:nth-of-type(1)","42","0,15%"
"45","#platformDock>BUTTON.dock-item:nth-of-type(2)>DIV.dock-icon:nth-of-type(1)>I.fas.fa-sitemap:nth-of-type(1)","41","0,15%"
"46","#platformDock>BUTTON.dock-item:nth-of-type(3)>DIV.dock-icon:nth-of-type(1)>I.fas.fa-users:nth-of-type(1)","41","0,15%"
"47","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>BUTTON.menu-toggle:nth-of-type(2)","40","0,15%"
"48","#platformDock>BUTTON.dock-item:nth-of-type(11)>DIV.dock-icon:nth-of-type(1)","40","0,15%"
"49","#platformDock>BUTTON.dock-item:nth-of-type(6)>DIV.dock-icon:nth-of-type(1)>I.fas.fa-magnifying-glass-chart:nth-of-type(1)","36","0,13%"
"50","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>BUTTON:nth-of-type(2)>I.fas.fa-chevron-right:nth-of-type(1)","36","0,13%"
"51","#platformDock>BUTTON.dock-item:nth-of-type(1)>DIV.dock-icon:nth-of-type(1)>I.fas.fa-chess-king:nth-of-type(1)","36","0,13%"
"52","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>BUTTON:nth-of-type(1)>I.fas.fa-chevron-left:nth-of-type(1)","35","0,13%"
"53","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>UL.nav-menu:nth-of-type(1)>LI:nth-of-type(3)>A:nth-of-type(1)>SPAN:nth-of-type(1)","34","0,13%"
"54","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>DIV.mobile-menu:nth-of-type(2)>DIV.mobile-menu__footer:nth-of-type(3)>A.btn.btn-outline:nth-of-type(1)","34","0,13%"
"55","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>FOOTER.footer:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.footer-grid:nth-of-type(1)>DIV.footer-column:nth-of-type(2)>UL.footer-contact:nth-of-type(1)>LI:nth-of-type(2)","34","0,13%"
"56","#olivia","34","0,13%"
"57","#platformDock","34","0,13%"
"58","#pricingSwitch","32","0,12%"
"59","#platformDock>BUTTON.dock-item:nth-of-type(12)>DIV.dock-icon:nth-of-type(1)>I.fas.fa-video:nth-of-type(1)","32","0,12%"
"60","#agentes","31","0,11%"
"61","HTML","31","0,11%"
"62","#plataforma","30","0,11%"
"63","#platformDock>BUTTON.dock-item:nth-of-type(5)>DIV.dock-icon:nth-of-type(1)>I.fas.fa-chart-line:nth-of-type(1)","29","0,11%"
"64","#platformDock>BUTTON.dock-item:nth-of-type(9)>DIV.dock-icon:nth-of-type(1)>I.fas.fa-triangle-exclamation:nth-of-type(1)","29","0,11%"
"65","#platformDock>BUTTON.dock-item:nth-of-type(7)>DIV.dock-icon:nth-of-type(1)>I.fas.fa-shield-halved:nth-of-type(1)","29","0,11%"
"66","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--orbit:nth-of-type(3)","26","0,10%"
"67","#home>DIV.container:nth-of-type(3)>DIV.hero-zoom__header:nth-of-type(1)>DIV.hero-zoom__ctas:nth-of-type(1)>A.btn.btn-ghost.btn-lg:nth-of-type(2)>I.fas.fa-arrow-down:nth-of-type(1)","25","0,09%"
"68","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.reframe-phase.reframe-phase--win:nth-of-type(3)>DIV.reframe-phase__steps.reframe-orbit-steps:nth-of-type(2)>DIV.reframe-orbit-card:nth-of-type(1)>DIV.reframe-orbit-card__text:nth-of-type(1)>H4:nth-of-type(1)","25","0,09%"
"69","#email","25","0,09%"
"70","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--orbit:nth-of-type(3)>DIV.cost-total:nth-of-type(7)>SPAN.cost-total__value:nth-of-type(2)","24","0,09%"
"71","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>UL.nav-menu:nth-of-type(1)>LI:nth-of-type(3)>DIV.dropdown.dropdown--sm:nth-of-type(1)>DIV.dropdown__links:nth-of-type(1)>A:nth-of-type(2)>DIV.dd-text:nth-of-type(2)>SMALL:nth-of-type(1)","23","0,08%"
"72","#platformDock>BUTTON.dock-item:nth-of-type(10)>DIV.dock-icon:nth-of-type(1)>I.fas.fa-file-lines:nth-of-type(1)","23","0,08%"
"73","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>UL.nav-menu:nth-of-type(1)>LI:nth-of-type(4)>A:nth-of-type(1)","22","0,08%"
"74","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>UL.nav-menu:nth-of-type(1)>LI:nth-of-type(3)>DIV.dropdown.dropdown--sm:nth-of-type(1)>DIV.dropdown__links:nth-of-type(1)>A:nth-of-type(1)>DIV.dd-text:nth-of-type(2)>SPAN:nth-of-type(1)","22","0,08%"
"75","#cargo","22","0,08%"
"76","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(2)>A:nth-of-type(1)>DIV:nth-of-type(1)>SPAN:nth-of-type(1)","21","0,08%"
"77","#olivia>DIV.container:nth-of-type(1)>DIV.olivia-intro:nth-of-type(1)>DIV:nth-of-type(1)>P:nth-of-type(1)","21","0,08%"
"78","#segmento","20","0,07%"
"79","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>UL.nav-menu:nth-of-type(1)>LI:nth-of-type(3)>DIV.dropdown.dropdown--sm:nth-of-type(1)>DIV.dropdown__links:nth-of-type(1)>A:nth-of-type(1)>DIV.dd-text:nth-of-type(2)>SMALL:nth-of-type(1)","20","0,07%"
"80","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>FOOTER.footer:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.footer-grid:nth-of-type(1)>DIV.footer-column:nth-of-type(3)>UL:nth-of-type(1)>LI:nth-of-type(2)>A:nth-of-type(1)","20","0,07%"
"81","#home>DIV.container:nth-of-type(3)>DIV.hero-zoom__header:nth-of-type(1)>H1.hero-zoom__title:nth-of-type(1)>SPAN.hero-zoom__title-highlight:nth-of-type(3)","19","0,07%"
