"Nome do projeto","OrbitGestão"
"Intervalo de datas","02/20/2026 00:00 - 05/20/2026 23:59"


"URL visitada começa com","https://orbitgestao.com.br/"

"Exibições de página","18104"
"Total de cliques","27144"

"Métrica","Click"

"Classificar","Botão","Cliques"," % de cliques"
"155","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-item:nth-of-type(2)>SPAN.cost-item__label:nth-of-type(1)","8","0,03%"
"156","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-card__title:nth-of-type(1)","8","0,03%"
"157","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-item:nth-of-type(5)","8","0,03%"
"158","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(3)>DIV.hiw-cinema__card:nth-of-type(2)>DIV.hiw-cinema__text:nth-of-type(1)>H3:nth-of-type(1)","8","0,03%"
"159","#planos-preview>DIV.container:nth-of-type(2)>DIV:nth-of-type(3)>DIV:nth-of-type(3)>DIV:nth-of-type(4)","8","0,03%"
"160","#planos-preview>DIV.container:nth-of-type(2)>DIV:nth-of-type(3)>DIV:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(3)","8","0,03%"
"161","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.roda:nth-of-type(1)>DIV.roda__scene:nth-of-type(1)>DIV.roda__wheel:nth-of-type(1)>DIV.roda__spinner:nth-of-type(1)>DIV.roda__arm:nth-of-type(3)>DIV.roda__card:nth-of-type(1)","8","0,03%"
"162","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(5)>DIV.hiw-cinema__card.hiw-cinema__card--final:nth-of-type(2)>DIV.hiw-cinema__text:nth-of-type(1)>P:nth-of-type(1)","8","0,03%"
"163","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>UL.nav-menu:nth-of-type(1)>LI:nth-of-type(2)>DIV.dropdown.dropdown--sm:nth-of-type(1)>DIV.dropdown__links:nth-of-type(1)>A:nth-of-type(1)","8","0,03%"
"164","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(1)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)","8","0,03%"
"165","#planos-preview>DIV.container:nth-of-type(2)>DIV:nth-of-type(3)>DIV:nth-of-type(2)>A:nth-of-type(1)","8","0,03%"
"166","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-item:nth-of-type(3)","8","0,03%"
"167","#olivia>DIV.container:nth-of-type(1)>DIV.olivia-intro:nth-of-type(1)>DIV:nth-of-type(1)>H2:nth-of-type(1)>SPAN:nth-of-type(1)","8","0,03%"
"168","#home>DIV.container:nth-of-type(3)>DIV.hero-zoom__header:nth-of-type(1)>DIV.hero-zoom__credentials:nth-of-type(2)","8","0,03%"
"169","#para-quem>DIV.container:nth-of-type(1)>DIV.pq-grid:nth-of-type(2)>A.pq-card:nth-of-type(2)>DIV.pq-card__content:nth-of-type(1)>SPAN.pq-card__link:nth-of-type(1)>SPAN:nth-of-type(1)","8","0,03%"
"170","#custo>DIV.container:nth-of-type(1)","8","0,03%"
"171","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.mkt-section:nth-of-type(4)>DIV.container:nth-of-type(2)>DIV.mkt-cards:nth-of-type(2)>DIV.mkt-card.mkt-card--highlight:nth-of-type(1)>P.mkt-card__headline:nth-of-type(1)","8","0,03%"
"172","#custo>DIV.container:nth-of-type(1)>DIV.cost-savings:nth-of-type(3)>DIV.cost-savings__badge:nth-of-type(1)>DIV.cost-savings__text:nth-of-type(1)>SPAN:nth-of-type(1)","7","0,03%"
"173","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--orbit:nth-of-type(3)>DIV.cost-item:nth-of-type(6)","7","0,03%"
"174","#como-funciona>DIV.container:nth-of-type(1)>DIV.section-header.revealed:nth-of-type(1)","7","0,03%"
"175","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(1)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>A.btn.btn-primary:nth-of-type(1)","7","0,03%"
"176","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-item:nth-of-type(8)","7","0,03%"
"177","#plataforma>DIV.container:nth-of-type(1)>DIV.one-platform__header:nth-of-type(1)>H2:nth-of-type(1)>SPAN.highlight:nth-of-type(1)","7","0,03%"
"178","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.reframe-phase.reframe-phase--win:nth-of-type(3)>DIV.reframe-phase__steps.reframe-orbit-steps:nth-of-type(2)>DIV.reframe-orbit-card:nth-of-type(1)>DIV.reframe-orbit-card__scene:nth-of-type(2)>DIV.rfm-mini-hub:nth-of-type(1)>DIV.rfm-mini-hub__center:nth-of-type(1)>DIV.rfm-mini-hub__pulse:nth-of-type(1)","7","0,03%"
"179","#manifesto>DIV.container:nth-of-type(1)>DIV:nth-of-type(1)>P:nth-of-type(1)","7","0,03%"
"180","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>UL.nav-menu:nth-of-type(1)>LI:nth-of-type(2)>DIV.dropdown.dropdown--sm:nth-of-type(1)>DIV.dropdown__links:nth-of-type(1)>A:nth-of-type(1)>DIV.dd-icon:nth-of-type(1)","7","0,03%"
"181","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(9)>A:nth-of-type(1)>IMG:nth-of-type(1)","7","0,03%"
"182","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.roda:nth-of-type(1)>DIV.roda__scene:nth-of-type(1)>DIV.roda__wheel:nth-of-type(1)>DIV.roda__spinner:nth-of-type(1)","7","0,03%"
"183","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-item:nth-of-type(2)","7","0,03%"
"184","#para-quem>DIV.container:nth-of-type(1)>DIV.pq-grid:nth-of-type(2)>A.pq-card:nth-of-type(2)>DIV.pq-card__content:nth-of-type(1)","7","0,03%"
"185","#dores","7","0,03%"
"186","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(3)>DIV.hiw-cinema__card:nth-of-type(2)>DIV.hiw-cinema__scene.hiw-scene-agents:nth-of-type(2)>DIV.hiw-agents-output:nth-of-type(2)>DIV.hiw-output-line:nth-of-type(1)","7","0,03%"
"187","#como-funciona>DIV.container:nth-of-type(1)>DIV.section-header:nth-of-type(1)>H2:nth-of-type(1)","7","0,03%"
"188","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>FOOTER.footer:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.footer-bottom:nth-of-type(2)>P:nth-of-type(1)","6","0,02%"
"189","#home>DIV.container:nth-of-type(3)>DIV.hero-zoom__header:nth-of-type(1)>P.hero-zoom__note:nth-of-type(2)","6","0,02%"
"190","#custo>DIV.container:nth-of-type(1)>DIV.cost-savings:nth-of-type(3)>DIV.cost-savings__badge:nth-of-type(1)","6","0,02%"
"191","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(9)>A:nth-of-type(1)>DIV:nth-of-type(1)>SPAN:nth-of-type(1)","6","0,02%"
"192","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(3)>DIV.hiw-cinema__card:nth-of-type(2)>DIV.hiw-cinema__scene.hiw-scene-agents:nth-of-type(2)>DIV.hiw-agents-output:nth-of-type(2)>DIV.hiw-output-line:nth-of-type(2)","6","0,02%"
"193","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>FOOTER.footer:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.footer-grid:nth-of-type(1)>DIV.footer-column:nth-of-type(3)>UL:nth-of-type(1)>LI:nth-of-type(3)>A:nth-of-type(1)","6","0,02%"
"194","#como-funciona","6","0,02%"
"195","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>FOOTER.footer:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.footer-grid:nth-of-type(1)>DIV.footer-column:nth-of-type(2)>UL.footer-contact:nth-of-type(1)>LI:nth-of-type(1)","6","0,02%"
"196","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(3)>DIV.hiw-cinema__card:nth-of-type(2)","6","0,02%"
"197","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>FOOTER.footer:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.footer-grid:nth-of-type(1)","6","0,02%"
"198","#lead-form>BUTTON.btn.btn-primary.btn-submit:nth-of-type(1)>SPAN.btn-text:nth-of-type(1)","6","0,02%"
"199","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-item:nth-of-type(7)","6","0,02%"
"200","#waArrowRight>I.fas.fa-chevron-right:nth-of-type(1)","6","0,02%"
"201","#reframe>DIV.container:nth-of-type(1)>DIV.section-header:nth-of-type(1)>H2:nth-of-type(1)>SPAN.highlight:nth-of-type(1)","6","0,02%"
"202","#para-quem>DIV.container:nth-of-type(1)>DIV:nth-of-type(1)>P:nth-of-type(1)","6","0,02%"
"203","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>BUTTON.menu-toggle:nth-of-type(2)>SPAN:nth-of-type(1)","6","0,02%"
"204","#orbitHub>DIV.orbit-hub__node:nth-of-type(11)>DIV.orbit-hub__node-icon:nth-of-type(1)","6","0,02%"
"205","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.reframe-phase.reframe-phase--win:nth-of-type(3)>DIV.reframe-phase__steps.reframe-orbit-steps:nth-of-type(2)>DIV.reframe-orbit-card:nth-of-type(1)>DIV.reframe-orbit-card__text:nth-of-type(1)","6","0,02%"
"206","#heroRotate>SPAN.hero-rotate__word:nth-of-type(2)","5","0,02%"
"207","#depoimentos>DIV.container:nth-of-type(1)>DIV.testi-header:nth-of-type(1)>H2:nth-of-type(1)","5","0,02%"
"208","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.reframe-phase.reframe-phase--win:nth-of-type(3)>DIV.reframe-phase__steps.reframe-orbit-steps:nth-of-type(2)>DIV.reframe-orbit-card:nth-of-type(1)>DIV.reframe-orbit-card__scene:nth-of-type(2)>DIV.rfm-mini-hub:nth-of-type(1)>svg.rfm-mini-hub__svg:nth-of-type(1)","5","0,02%"
"209","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(5)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>UL.platform-panel__features:nth-of-type(1)>LI:nth-of-type(1)","5","0,02%"
"210","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(2)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>H3:nth-of-type(1)","5","0,02%"
"211","#reframe>DIV.container:nth-of-type(1)>DIV.section-header:nth-of-type(1)>H2:nth-of-type(1)","5","0,02%"
"212","#planos-preview>DIV.container:nth-of-type(2)>DIV:nth-of-type(3)>DIV:nth-of-type(3)>A:nth-of-type(1)","5","0,02%"
"213","#olivia>DIV.container:nth-of-type(1)>DIV.olivia-intro:nth-of-type(1)>DIV:nth-of-type(1)","5","0,02%"
"214","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(7)>A:nth-of-type(1)>DIV:nth-of-type(1)>P:nth-of-type(1)","5","0,02%"
"215","#orbitHub>DIV.orbit-hub__node:nth-of-type(3)>DIV.orbit-hub__node-icon:nth-of-type(1)","5","0,02%"
"216","#plataforma>DIV.container:nth-of-type(1)>DIV.dock-container:nth-of-type(2)","5","0,02%"
"217","#custo>DIV.container:nth-of-type(1)>DIV.cost-savings:nth-of-type(3)>DIV.cost-savings__badge:nth-of-type(1)>DIV.cost-savings__text:nth-of-type(1)>STRONG:nth-of-type(1)","5","0,02%"
"218","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(3)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>A.btn.btn-primary:nth-of-type(1)","5","0,02%"
"219","#olivia>DIV.container:nth-of-type(1)>DIV.olivia-intro:nth-of-type(1)>DIV:nth-of-type(2)>IMG:nth-of-type(1)","5","0,02%"
"220","#olivia>DIV.container:nth-of-type(1)>DIV.olivia-intro:nth-of-type(1)>DIV:nth-of-type(1)>P:nth-of-type(2)","5","0,02%"
"221","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.roda:nth-of-type(1)>DIV.roda__scene:nth-of-type(1)>DIV.roda__wheel:nth-of-type(1)>DIV.roda__spinner:nth-of-type(1)>DIV.roda__arm:nth-of-type(1)>DIV.roda__card:nth-of-type(1)","5","0,02%"
"222","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.faq-section.section--light:nth-of-type(15)>DIV.container:nth-of-type(1)","5","0,02%"
"223","#para-quem>DIV.container:nth-of-type(1)>DIV:nth-of-type(1)>H2:nth-of-type(1)","5","0,02%"
"224","#olivia>DIV.container:nth-of-type(1)>DIV.olivia-intro:nth-of-type(1)>DIV:nth-of-type(2)","5","0,02%"
"225","#home>DIV.container:nth-of-type(3)>DIV.hero-zoom__header:nth-of-type(1)>DIV.hero-zoom__credentials:nth-of-type(2)>DIV.hero-zoom__credential:nth-of-type(5)>STRONG:nth-of-type(1)","5","0,02%"
"226","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>UL.nav-menu:nth-of-type(1)>LI:nth-of-type(3)>DIV.dropdown.dropdown--sm:nth-of-type(1)>DIV.dropdown__links:nth-of-type(1)>A:nth-of-type(2)","5","0,02%"
"227","#orbitHub>DIV.orbit-hub__node:nth-of-type(7)>DIV.orbit-hub__node-icon:nth-of-type(1)","5","0,02%"
"228","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(11)>A:nth-of-type(1)>DIV:nth-of-type(1)>SPAN:nth-of-type(1)","5","0,02%"
"229","#waPhones","5","0,02%"
"230","#depoimentos>DIV.container:nth-of-type(1)>DIV.testi-columns:nth-of-type(2)>DIV.testi-column.testi-column--md:nth-of-type(2)>DIV.testi-scroll:nth-of-type(1)>DIV.testi-card:nth-of-type(3)>P.testi-quote:nth-of-type(1)","5","0,02%"
"231","#planos-preview>DIV.container:nth-of-type(2)>DIV:nth-of-type(3)>DIV:nth-of-type(1)","5","0,02%"
"232","#como-funciona>DIV.container:nth-of-type(1)>DIV.section-header:nth-of-type(1)>P:nth-of-type(1)","5","0,02%"
"233","#depoimentos>DIV.container:nth-of-type(1)>DIV.testi-header:nth-of-type(1)>DIV.testi-badge:nth-of-type(1)","5","0,02%"
"234","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>FOOTER.footer:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.footer-grid:nth-of-type(1)>DIV.footer-brand:nth-of-type(1)>P:nth-of-type(1)","5","0,02%"
"235","#custo>DIV.container:nth-of-type(1)>DIV.cost-savings.revealed:nth-of-type(3)","5","0,02%"
"236","#olivia>DIV.container:nth-of-type(1)>DIV.olivia-intro:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>SPAN:nth-of-type(3)","5","0,02%"
"237","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.reframe-phase.reframe-phase--win:nth-of-type(3)>DIV.reframe-phase__steps.reframe-orbit-steps:nth-of-type(2)>DIV.reframe-orbit-card:nth-of-type(3)>DIV.reframe-orbit-card__text:nth-of-type(1)>H4:nth-of-type(1)","5","0,02%"
"238","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(10)>A:nth-of-type(1)>DIV:nth-of-type(1)>SPAN:nth-of-type(1)","4","0,01%"
"239","#dores>DIV.container:nth-of-type(2)>DIV.section-header:nth-of-type(1)>H2:nth-of-type(1)","4","0,01%"
"240","#orbitHub>DIV.orbit-hub__node:nth-of-type(6)>DIV.orbit-hub__node-icon:nth-of-type(1)","4","0,01%"
"241","#agentes>DIV:nth-of-type(3)>P:nth-of-type(1)>STRONG:nth-of-type(1)","4","0,01%"
"242","#contato-form","4","0,01%"
"243","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.mkt-section:nth-of-type(4)>DIV.container:nth-of-type(2)>DIV.mkt-header:nth-of-type(1)>H2:nth-of-type(1)>SPAN:nth-of-type(1)","4","0,01%"
"244","#depoimentos>DIV.container:nth-of-type(1)>DIV.testi-columns:nth-of-type(2)>DIV.testi-column:nth-of-type(1)>DIV.testi-scroll:nth-of-type(1)>DIV.testi-card:nth-of-type(3)","4","0,01%"
"245","#planos-preview>DIV.container:nth-of-type(2)>DIV:nth-of-type(3)>DIV:nth-of-type(3)>DIV:nth-of-type(3)>DIV:nth-of-type(2)","4","0,01%"
"246","#heroRotate>SPAN.hero-rotate__word:nth-of-type(3)","4","0,01%"
"247","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(11)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)","4","0,01%"
"248","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-item:nth-of-type(9)","4","0,01%"
"249","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.reframe-phase.reframe-phase--win:nth-of-type(3)>DIV.reframe-phase__steps.reframe-orbit-steps:nth-of-type(2)>DIV.reframe-orbit-card:nth-of-type(5)>DIV.reframe-orbit-card__text:nth-of-type(1)>H4:nth-of-type(1)","4","0,01%"
"250","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.reframe-phase.reframe-phase--win:nth-of-type(3)>DIV.reframe-verdict.reframe-verdict--win:nth-of-type(3)>DIV:nth-of-type(2)>STRONG:nth-of-type(1)","4","0,01%"
"251","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-item:nth-of-type(13)","4","0,01%"
"252","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(1)>A:nth-of-type(1)>DIV:nth-of-type(1)","4","0,01%"
"253","#olivia>DIV.container:nth-of-type(1)>DIV.olivia-intro:nth-of-type(1)>DIV:nth-of-type(1)>H2:nth-of-type(1)","4","0,01%"
"254","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(5)>DIV.hiw-cinema__card.hiw-cinema__card--final:nth-of-type(2)","4","0,01%"
"255","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.reframe-phase.reframe-phase--win:nth-of-type(3)>DIV.reframe-phase__steps.reframe-orbit-steps:nth-of-type(2)>DIV.reframe-orbit-card:nth-of-type(5)","4","0,01%"
"256","#waPhones>DIV.wa-device:nth-of-type(2)>DIV.wa-device__frame:nth-of-type(1)>DIV.wa-input:nth-of-type(4)>DIV.wa-input__field:nth-of-type(1)>SPAN:nth-of-type(1)","4","0,01%"
"257","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(5)>DIV.hiw-cinema__card.hiw-cinema__card--final:nth-of-type(2)>DIV.hiw-cinema__text:nth-of-type(1)","4","0,01%"
"258","#plataforma>DIV.container:nth-of-type(1)>DIV.one-platform__header:nth-of-type(1)>H2:nth-of-type(1)","4","0,01%"
"259","#depoimentos>DIV.container:nth-of-type(1)>DIV.testi-columns:nth-of-type(2)>DIV.testi-column:nth-of-type(1)>DIV.testi-scroll:nth-of-type(1)>DIV.testi-card:nth-of-type(3)>DIV.testi-author:nth-of-type(1)>DIV.testi-info:nth-of-type(2)>DIV.testi-role:nth-of-type(2)","4","0,01%"
"260","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(2)>A:nth-of-type(1)>DIV:nth-of-type(1)","4","0,01%"
"261","#home>DIV.container:nth-of-type(3)>DIV.hero-zoom__header:nth-of-type(1)>DIV.hero-zoom__credentials:nth-of-type(2)>DIV.hero-zoom__credential:nth-of-type(1)>STRONG:nth-of-type(1)","4","0,01%"
"262","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.mkt-section:nth-of-type(4)>DIV.container:nth-of-type(2)>DIV.mkt-header.revealed:nth-of-type(1)","4","0,01%"
"263","#para-quem>DIV.container:nth-of-type(1)>DIV.pq-grid:nth-of-type(2)>A.pq-card:nth-of-type(2)>IMG:nth-of-type(1)","4","0,01%"
"264","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(3)>DIV.hiw-cinema__card:nth-of-type(2)>DIV.hiw-cinema__scene.hiw-scene-agents:nth-of-type(2)>DIV.hiw-agents-output:nth-of-type(2)","4","0,01%"
"265","#heroRotate>SPAN.hero-rotate__word:nth-of-type(4)","4","0,01%"
"266","#orbitHub>DIV.orbit-hub__node:nth-of-type(2)>DIV.orbit-hub__node-icon:nth-of-type(1)>I.fas.fa-compass:nth-of-type(1)","4","0,01%"
"267","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-item:nth-of-type(6)","4","0,01%"
"268","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(4)>DIV.hiw-cinema__card:nth-of-type(2)>DIV.hiw-cinema__text:nth-of-type(1)>H3:nth-of-type(1)","4","0,01%"
"269","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.mkt-section:nth-of-type(4)>DIV.container:nth-of-type(2)>DIV.mkt-cards:nth-of-type(2)>DIV.mkt-card:nth-of-type(2)>P.mkt-card__headline:nth-of-type(1)>STRONG:nth-of-type(1)","4","0,01%"
"270","#depoimentos","4","0,01%"
"271","#para-quem>DIV.container:nth-of-type(1)>DIV.revealed:nth-of-type(1)","4","0,01%"
"272","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(2)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>UL.platform-panel__features:nth-of-type(1)>LI:nth-of-type(3)","4","0,01%"
"273","#telefone","4","0,01%"
"274","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.mkt-section:nth-of-type(4)","4","0,01%"
"275","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(12)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>P:nth-of-type(1)","4","0,01%"
"276","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(9)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)","3","0,01%"
"277","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.mkt-section:nth-of-type(4)>DIV.container:nth-of-type(2)>DIV.mkt-cards:nth-of-type(2)>DIV.mkt-card:nth-of-type(3)>P.mkt-card__headline:nth-of-type(1)>STRONG:nth-of-type(1)","3","0,01%"
"278","#para-quem>DIV.container:nth-of-type(1)>DIV.pq-grid:nth-of-type(2)>A.pq-card:nth-of-type(3)>DIV.pq-card__content:nth-of-type(1)>SPAN.pq-card__link:nth-of-type(1)>SPAN:nth-of-type(1)","3","0,01%"
"279","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.reframe-phase.reframe-phase--win:nth-of-type(3)>DIV.reframe-phase__steps.reframe-orbit-steps:nth-of-type(2)>DIV.reframe-orbit-card:nth-of-type(3)>DIV.reframe-orbit-card__text:nth-of-type(1)>P:nth-of-type(1)","3","0,01%"
"280","#para-quem>DIV.container:nth-of-type(1)>DIV.pq-grid:nth-of-type(2)>A.pq-card:nth-of-type(2)>DIV.pq-card__content:nth-of-type(1)>P:nth-of-type(1)","3","0,01%"
"281","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--orbit:nth-of-type(3)>DIV.cost-orbit-benefits:nth-of-type(8)>DIV.cost-orbit-benefit:nth-of-type(1)","3","0,01%"
"282","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.mkt-section:nth-of-type(4)>DIV.container:nth-of-type(2)>DIV.mkt-cards:nth-of-type(2)>DIV.mkt-card.mkt-card--highlight:nth-of-type(1)","3","0,01%"
"283","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(10)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>H3:nth-of-type(1)","3","0,01%"
"284","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>UL.nav-menu:nth-of-type(1)>LI:nth-of-type(2)>DIV.dropdown.dropdown--sm:nth-of-type(1)>DIV.dropdown__links:nth-of-type(1)>A:nth-of-type(2)>DIV.dd-icon:nth-of-type(1)","3","0,01%"
"285","#para-quem>DIV.container:nth-of-type(1)","3","0,01%"
"286","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.roda:nth-of-type(1)>DIV.roda__scene:nth-of-type(1)>DIV.roda__wheel:nth-of-type(1)>DIV.roda__spinner:nth-of-type(1)>DIV.roda__arm:nth-of-type(2)>DIV.roda__card:nth-of-type(1)>STRONG:nth-of-type(1)","3","0,01%"
"287","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.roda:nth-of-type(1)>DIV.roda__scene:nth-of-type(1)>DIV.roda__wheel:nth-of-type(1)>DIV.roda__spinner:nth-of-type(1)>DIV.roda__arm:nth-of-type(2)>DIV.roda__card:nth-of-type(1)","3","0,01%"
"288","#orbitHub>DIV.orbit-hub__node:nth-of-type(13)>DIV.orbit-hub__node-icon:nth-of-type(1)","3","0,01%"
"289","#olivia>DIV.container:nth-of-type(1)>DIV.olivia-intro:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>SPAN:nth-of-type(2)","3","0,01%"
